Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_income
LP001005,1,1,0,1,1,360.0,1.0,2,1,4.189654742026425,3000.0
LP001006,1,1,0,0,0,360.0,1.0,2,1,4.787491742782046,4941.0
LP001008,1,0,0,1,0,360.0,1.0,2,1,4.948759890378168,6000.0
LP001011,1,1,2,1,1,360.0,1.0,2,1,5.58724865840025,9613.0
LP001013,1,1,0,0,0,360.0,1.0,2,1,4.553876891600541,3849.0
LP001018,1,1,2,1,0,360.0,1.0,2,1,5.123963979403259,5532.0
LP001024,1,1,2,1,0,360.0,1.0,2,1,4.248495242049359,3900.0
LP001027,1,1,2,1,0,360.0,1.0,2,1,4.6913478822291435,4340.0
LP001028,1,1,2,1,0,360.0,1.0,2,1,5.298317366548036,11179.0
LP001030,1,1,2,1,0,120.0,1.0,2,1,2.833213344056216,2385.0
LP001032,1,0,0,1,0,360.0,1.0,2,1,4.8283137373023015,4950.0
LP001034,1,0,1,0,0,240.0,1.0,2,1,4.605170185988092,3596.0
LP001041,1,1,0,1,0,360.0,1.0,2,1,4.74493212836325,6100.0
LP001046,1,1,1,1,0,360.0,1.0,2,1,5.752572638825633,11580.0
LP001066,1,1,0,1,1,360.0,1.0,1,1,5.25227342804663,9560.0
LP001068,1,1,0,1,0,360.0,1.0,1,1,4.804021044733257,5052.0
LP001073,1,1,2,0,0,360.0,1.0,2,1,4.700480365792417,5266.0
LP001087,0,0,2,1,0,360.0,1.0,1,1,4.787491742782046,5833.0
LP001098,1,1,0,1,0,360.0,1.0,1,1,4.736198448394496,5167.0
LP001112,0,1,0,1,0,360.0,1.0,1,1,4.969813299576001,5126.0
LP001114,1,0,0,1,0,360.0,1.0,2,1,5.214935757608986,11376.0
LP001116,1,0,0,0,0,360.0,1.0,1,1,4.700480365792417,5416.0
LP001120,1,0,0,1,0,360.0,1.0,2,1,3.8501476017100584,3013.0
LP001123,1,1,0,1,0,360.0,1.0,2,1,4.31748811353631,2400.0
LP001131,1,1,0,1,0,360.0,1.0,1,1,4.897839799950911,6277.0
LP001136,1,1,0,0,1,360.0,1.0,2,1,4.564348191467836,4695.0
LP001137,0,0,0,1,0,360.0,1.0,2,1,4.477336814478207,3410.0
LP001138,1,1,1,1,0,360.0,1.0,2,1,3.784189633918261,5649.0
LP001144,1,1,0,1,0,360.0,1.0,2,1,4.969813299576001,5821.0
LP001151,0,0,0,1,0,360.0,1.0,1,1,4.969813299576001,6275.0
LP001155,0,1,0,0,0,360.0,1.0,1,1,4.605170185988092,3572.0
LP001157,0,0,0,1,0,360.0,1.0,1,1,4.787491742782046,3086.0
LP001194,1,1,2,1,0,360.0,1.0,1,1,4.574710978503383,3875.0
LP001195,1,1,0,1,0,360.0,1.0,1,1,4.564348191467836,3723.0
LP001198,1,1,1,1,0,360.0,1.0,2,1,5.19295685089021,10330.0
LP001199,1,1,2,0,0,360.0,1.0,2,1,4.969813299576001,6216.0
LP001205,1,1,0,1,0,360.0,1.0,2,1,4.787491742782046,6296.0
LP001206,1,1,3,1,0,360.0,1.0,2,1,4.59511985013459,3029.0
LP001233,1,1,1,1,0,360.0,1.0,2,1,5.7430031878094825,10750.0
LP001238,1,1,3,0,1,60.0,1.0,2,1,4.8283137373023015,7100.0
LP001243,1,1,0,1,0,360.0,1.0,2,1,5.147494476813453,6274.0
LP001245,1,1,2,0,1,360.0,1.0,1,1,4.574710978503383,3750.0
LP001248,1,0,0,1,0,300.0,1.0,1,1,4.394449154672439,3500.0
LP001253,1,1,3,1,1,360.0,1.0,1,1,5.231108616854587,7040.0
LP001264,1,1,3,0,1,360.0,1.0,1,1,4.867534450455582,5499.0
LP001265,0,0,0,1,0,360.0,1.0,1,1,4.709530201312334,3846.0
LP001275,1,1,1,1,0,240.0,1.0,2,1,3.912023005428146,3988.0
LP001279,1,0,0,1,0,360.0,1.0,1,1,4.912654885736052,4897.0
LP001280,1,1,2,0,0,360.0,1.0,1,1,4.59511985013459,5333.0
LP001282,1,1,0,1,0,360.0,1.0,1,1,4.6443908991413725,4618.0
LP001289,1,0,0,1,0,360.0,1.0,2,1,5.3471075307174685,8566.0
LP001310,1,1,0,1,0,360.0,1.0,1,1,5.1647859739235145,9862.0
LP001316,1,1,0,1,0,360.0,1.0,1,1,4.875197323201151,5858.0
LP001318,1,1,2,1,0,180.0,1.0,1,1,5.236441962829949,11904.0
LP001319,1,1,2,0,0,360.0,1.0,2,1,4.394449154672439,5093.0
LP001322,1,0,0,1,0,360.0,1.0,1,1,4.804021044733257,4133.0
LP001325,1,0,0,0,0,120.0,1.0,1,1,3.2188758248682006,3620.0
LP001327,0,1,0,1,0,360.0,1.0,1,1,4.919980925828125,4786.0
LP001333,1,1,0,1,0,360.0,1.0,1,1,3.912023005428146,2974.0
LP001334,1,1,0,0,0,180.0,1.0,1,1,4.74493212836325,4188.0
LP001343,1,1,0,1,0,360.0,1.0,1,1,4.875197323201151,5300.0
LP001345,1,1,2,0,0,180.0,1.0,2,1,4.890349128221754,7551.0
